step,mean_qed,mean_reward,mean_diversity,loss,mean_kl,validity
167,0.4026,0.4026,0.9574,-35.0036,0.2444,1.0000
168,0.3814,0.3814,0.9591,-27.5741,0.0000,1.0000
169,0.3714,0.3714,0.9570,-18.9570,0.0000,1.0000
170,0.4064,0.4064,0.9473,-26.2709,0.0000,1.0000
171,0.3463,0.3463,0.9394,-22.6705,0.1468,1.0000
172,0.3868,0.3868,0.9625,-17.8559,0.0000,1.0000
173,0.4099,0.4099,0.9499,-36.3605,0.0086,1.0000
174,0.4319,0.4319,0.9506,-36.7063,0.0000,1.0000
175,0.4310,0.4310,0.9409,-38.7514,0.0338,1.0000
176,0.3758,0.3758,0.9317,-25.6281,0.0095,1.0000
177,0.3703,0.3703,0.9436,-28.0660,0.0000,1.0000
178,0.3904,0.3904,0.9642,-31.4137,0.0072,1.0000
179,0.3555,0.3555,0.9317,-27.8271,0.0000,1.0000
180,0.3938,0.3938,0.9541,-38.0366,0.0000,1.0000
181,0.3219,0.3219,0.9434,-31.5484,0.1258,1.0000
182,0.4205,0.4205,0.9525,-28.6558,0.0403,1.0000
183,0.4469,0.4469,0.9197,-51.0809,0.0037,1.0000
184,0.4242,0.4242,0.9462,-35.3106,0.0117,1.0000
185,0.3393,0.3393,0.9424,-29.0485,0.0237,1.0000
186,0.4240,0.4240,0.9342,-37.8208,0.0000,1.0000
187,0.4302,0.4302,0.9480,-47.6951,0.0000,1.0000
188,0.3745,0.3745,0.9389,-26.6977,0.0000,1.0000
189,0.3070,0.3070,0.8984,-20.3398,0.0000,1.0000
190,0.4012,0.4012,0.9191,-43.6173,0.0000,1.0000
191,0.3637,0.3637,0.9288,-20.3845,0.0000,1.0000
192,0.4261,0.4261,0.9629,-29.2550,0.0000,1.0000
193,0.4297,0.4297,0.9456,-18.1591,0.0000,1.0000
194,0.3849,0.3849,0.9415,-39.3770,0.0000,1.0000
195,0.4048,0.4048,0.9457,-41.5844,0.0000,1.0000
196,0.3420,0.3420,0.9273,-40.2857,0.0025,1.0000
197,0.3701,0.3701,0.9348,-41.4149,0.0126,1.0000
198,0.3521,0.3521,0.9246,-47.8429,0.0133,1.0000
199,0.4040,0.4040,0.9517,-47.2990,0.0000,1.0000
200,0.3264,0.3264,0.8909,-22.1367,0.0000,1.0000
