epoch,step,train_loss,val_loss,lr,tokens_per_sec,elapsed_min
20,12400,0.514402,,0.00010548,957.7,343.18
20,12450,0.416869,,0.00010484,1064.0,345.19
20,12500,0.421966,,0.0001042,948.1,347.3
20,12500,,0.381258,0.0001042,948.1,349.3
20,12550,0.327428,,0.00010357,900.8,351.56
20,12600,0.391609,,0.00010293,879.0,353.81
21,12650,0.389067,,0.00010229,859.1,356.12
21,12700,0.41754,,0.00010166,953.7,358.3
21,12750,0.324785,,0.00010102,1210.5,360.12
21,12800,0.342908,,0.00010038,1476.2,361.5
21,12850,0.425078,,9.975e-05,1507.0,362.82
21,12900,0.428128,,9.911e-05,1514.6,364.13
21,12950,0.322788,,9.847e-05,1501.6,365.45
21,13000,0.283737,,9.783e-05,1479.1,366.79
21,13000,,0.388602,9.783e-05,1479.1,367.97
21,13050,0.460006,,9.72e-05,1483.1,369.35
21,13100,0.242776,,9.656e-05,1476.5,370.7
21,13150,0.327617,,9.592e-05,1493.6,372.02
21,13200,0.295195,,9.529e-05,1442.6,373.48
22,13250,0.497458,,9.465e-05,1428.5,374.86
22,13300,0.475244,,9.402e-05,1485.9,376.26
22,13350,0.289461,,9.338e-05,1493.8,377.59
22,13400,0.339607,,9.274e-05,1497.0,378.92
22,13450,0.35724,,9.211e-05,1495.0,380.25
22,13500,0.404686,,9.147e-05,1464.6,381.61
22,13500,,0.380008,9.147e-05,1464.6,382.85
22,13550,0.288218,,9.084e-05,1397.8,384.38
22,13600,0.471607,,9.021e-05,1499.7,385.68
22,13650,0.359,,8.957e-05,1486.1,387.02
22,13700,0.284478,,8.894e-05,1489.4,388.35
22,13750,0.329908,,8.831e-05,1489.6,389.69
22,13800,0.275824,,8.767e-05,1484.2,391.03
22,13850,0.419515,,8.704e-05,1463.6,392.39
23,13900,0.396113,,8.641e-05,1480.2,393.74
23,13950,0.388259,,8.578e-05,1473.7,395.08
23,14000,0.402012,,8.515e-05,1484.3,396.43
23,14000,,0.369808,8.515e-05,1484.3,397.65
23,14050,0.382469,,8.452e-05,1420.2,399.17
23,14100,0.441215,,8.389e-05,1514.6,400.46
23,14150,0.271791,,8.326e-05,1485.6,401.79
23,14200,0.223713,,8.264e-05,1735.2,403.03
23,14250,0.476077,,8.201e-05,1511.1,404.28
23,14300,0.291807,,8.138e-05,1489.6,405.63
23,14350,0.5862,,8.076e-05,1493.6,406.95
23,14400,0.286923,,8.013e-05,1476.3,408.31
23,14450,0.510104,,7.951e-05,1457.7,409.67
24,14500,0.260475,,7.888e-05,1453.2,411.04
24,14500,,0.37331,7.888e-05,1453.2,412.27
24,14550,0.302628,,7.826e-05,1430.6,413.69
24,14600,0.294063,,7.764e-05,1476.5,415.04
24,14650,0.304792,,7.702e-05,1441.4,416.43
24,14700,0.418784,,7.64e-05,1448.8,417.8
24,14750,0.451343,,7.578e-05,1464.8,419.16
24,14800,0.394559,,7.517e-05,1462.1,420.52
24,14850,0.28691,,7.455e-05,1440.5,421.89
