step,mean_qed,mean_mw,mean_reward,mean_diversity,loss,mean_kl,validity
218,0.8255,308.34,1.0508,0.7822,-0.0393,0.0000,1.0000
219,0.7832,315.50,1.0199,0.7892,-0.1683,0.2650,1.0000
220,0.8508,320.88,1.0892,0.7944,-0.0222,0.0000,1.0000
221,0.8085,318.50,1.0503,0.8164,-0.3426,0.0000,1.0000
222,0.8384,312.20,1.0759,0.7916,-0.1668,0.0000,1.0000
223,0.8662,313.35,1.1003,0.7804,0.0379,0.0057,1.0000
224,0.8671,312.51,1.1025,0.7847,-0.0686,0.2463,1.0000
225,0.8470,319.41,1.0810,0.7800,-0.1779,0.0000,1.0000
226,0.8287,316.15,1.0657,0.7900,-0.0210,0.0000,1.0000
227,0.8633,314.78,1.0938,0.7683,-0.0250,0.0000,1.0000
228,0.8013,302.21,1.0322,0.8009,-0.0694,0.0000,1.0000
229,0.8407,313.72,1.0772,0.7882,-0.1057,0.0000,1.0000
230,0.8720,317.97,1.1015,0.7650,0.0482,0.2940,1.0000
231,0.8657,316.15,1.0955,0.7660,0.0249,0.0000,1.0000
232,0.8190,308.32,1.0654,0.8216,-0.0983,0.0000,1.0000
233,0.8497,313.41,1.0868,0.7904,-0.1454,0.0000,1.0000
234,0.8636,314.59,1.1016,0.7933,-0.0557,0.0000,1.0000
235,0.8317,308.56,1.0631,0.7714,-0.3157,0.1163,1.0000
236,0.8466,317.88,1.0891,0.8084,-0.1845,0.0000,1.0000
237,0.8302,306.41,1.0677,0.7919,-0.3601,0.1330,1.0000
238,0.8391,309.71,1.0759,0.7892,-0.0622,0.0000,1.0000
239,0.8561,303.21,1.0750,0.7607,-0.1853,0.0000,1.0000
240,0.8398,308.15,1.0673,0.7881,0.1969,0.0000,1.0000
241,0.8403,317.09,1.0779,0.7922,-0.1839,0.0000,1.0000
242,0.8371,315.87,1.0805,0.8112,-0.0893,0.0000,1.0000
243,0.8531,307.69,1.0823,0.7757,-0.1636,0.0000,1.0000
244,0.8410,313.35,1.0718,0.7693,-0.0170,0.0000,1.0000
245,0.8133,304.50,1.0520,0.7957,-0.1949,0.0000,1.0000
246,0.8568,310.53,1.0880,0.7706,-0.0184,0.0000,1.0000
247,0.8555,308.22,1.0903,0.7876,-0.1597,0.0000,1.0000
248,0.8314,312.22,1.0726,0.8039,-0.1375,0.0000,1.0000
249,0.8524,315.88,1.0846,0.7738,0.0060,0.1073,1.0000
250,0.8704,310.75,1.1107,0.8008,0.0055,0.0000,1.0000
251,0.8643,315.32,1.0983,0.7799,-0.1072,0.0000,1.0000
252,0.8432,311.09,1.0791,0.7862,-0.2526,0.0000,1.0000
253,0.8121,307.47,1.0491,0.7900,-0.1096,0.0000,1.0000
254,0.8196,307.60,1.0537,0.8067,-0.0458,0.0000,1.0000
255,0.8489,312.93,1.0854,0.7882,0.0554,0.0000,1.0000
256,0.8550,308.06,1.0945,0.8004,0.1011,1.2009,1.0000
257,0.8545,312.19,1.0848,0.7677,-0.2706,0.0000,1.0000
258,0.8019,311.27,1.0388,0.7921,-0.2683,0.0000,1.0000
259,0.8501,312.45,1.0862,0.7870,-0.0703,0.0000,1.0000
260,0.8594,316.12,1.0905,0.7706,0.0063,0.0000,1.0000
261,0.8469,309.72,1.0812,0.7823,0.2121,0.9874,1.0000
262,0.8275,312.38,1.0677,0.8008,-0.2587,0.0000,1.0000
263,0.8348,311.89,1.0618,0.7824,-0.1638,0.0000,1.0000
264,0.8473,311.78,1.0802,0.7766,-0.1263,0.0000,1.0000
265,0.8700,308.76,1.0953,0.7511,0.0640,0.0000,1.0000
266,0.8125,311.13,1.0487,0.7921,-0.0836,0.0000,1.0000
267,0.8324,314.35,1.0635,0.7760,-0.5046,0.0901,1.0000
268,0.8213,313.47,1.0582,0.7898,-0.1880,0.0000,1.0000
269,0.8533,316.13,1.0843,0.7701,-0.0910,0.0000,1.0000
270,0.8526,307.93,1.0848,0.7740,-0.1093,0.0000,1.0000
271,0.8160,320.23,1.0499,0.7799,-0.1689,0.0000,1.0000
272,0.8047,318.57,1.0444,0.7995,-0.0851,0.0000,1.0000
273,0.8510,313.35,1.0831,0.7736,-0.0183,0.0000,1.0000
274,0.8466,307.01,1.0761,0.7958,0.0152,0.0000,1.0000
275,0.8120,314.50,1.0564,0.8145,-0.3273,0.0000,1.0000
276,0.8481,315.85,1.0848,0.7889,-0.2289,0.0000,1.0000
277,0.8016,314.76,1.0438,0.8075,-0.0212,0.0000,1.0000
278,0.8380,317.21,1.0778,0.7996,-0.0004,0.0000,1.0000
279,0.8706,321.35,1.0886,0.7266,-0.0119,0.0000,1.0000
280,0.8218,311.39,1.0625,0.8023,0.0198,0.0000,1.0000
281,0.8666,319.10,1.0925,0.7529,0.0648,0.0000,1.0000
282,0.8457,317.69,1.0786,0.7762,-0.1320,0.0000,1.0000
283,0.8482,317.41,1.0833,0.7837,-0.0744,0.0000,1.0000
284,0.8419,308.62,1.0674,0.7829,-0.1651,0.0000,1.0000
285,0.8697,317.91,1.0913,0.7388,-0.0708,0.0000,1.0000
286,0.8346,324.88,1.0726,0.7935,-0.2363,0.0000,1.0000
287,0.8666,309.10,1.0969,0.7677,-0.1875,0.0000,1.0000
288,0.8515,319.82,1.0774,0.7530,0.0064,0.0000,1.0000
289,0.8585,312.31,1.0934,0.7831,0.0431,0.2198,1.0000
290,0.8295,322.22,1.0665,0.7902,0.0529,0.0000,1.0000
291,0.8300,317.63,1.0611,0.7702,-0.2163,0.0000,1.0000
292,0.8716,317.39,1.0972,0.7519,0.0703,0.0000,1.0000
293,0.8529,327.06,1.0932,0.8010,-0.0625,0.0000,1.0000
294,0.8402,323.66,1.0757,0.7849,-0.1433,0.0000,1.0000
295,0.8473,322.68,1.0881,0.8028,-0.0654,0.0000,1.0000
296,0.8230,316.90,1.0518,0.7937,-0.0473,0.0000,1.0000
297,0.8171,318.76,1.0540,0.7894,-0.1751,0.0000,1.0000
298,0.8268,320.62,1.0639,0.7904,-0.0635,0.0000,1.0000
299,0.8278,323.66,1.0605,0.7759,-0.3519,0.0000,1.0000
300,0.7879,310.59,1.0273,0.7982,-0.0113,0.0000,1.0000
