step,mean_qed,mean_mw,mean_reward,mean_diversity,loss,mean_kl,validity
240,0.8117,330.88,1.1117,0.8006,-0.2262,0.0000,1.0000
241,0.8442,319.03,1.1433,0.7698,-0.4246,0.0000,1.0000
242,0.7935,315.12,1.0841,0.8260,-0.0285,0.0000,1.0000
243,0.8269,321.19,1.1200,0.7689,-0.1904,0.0000,1.0000
244,0.8531,325.81,1.1531,0.7947,0.0730,0.0000,1.0000
245,0.8258,325.53,1.1258,0.7806,-0.1520,0.0000,1.0000
246,0.8373,330.23,1.1373,0.7766,-0.1683,0.0000,1.0000
247,0.8296,329.07,1.1264,0.7562,-0.1494,0.0000,1.0000
248,0.8370,317.97,1.1370,0.7804,-0.0581,0.0000,1.0000
249,0.8506,332.47,1.1506,0.7899,-0.1795,0.0000,1.0000
250,0.8150,325.09,1.1150,0.7879,-0.1538,0.0000,1.0000
251,0.8312,327.59,1.1312,0.8062,-0.0682,0.0000,1.0000
252,0.8205,320.66,1.1175,0.7926,0.0197,0.0000,1.0000
253,0.7980,325.23,1.0980,0.8046,-0.1804,0.0000,1.0000
254,0.8452,331.06,1.1441,0.7757,-0.1467,0.0000,1.0000
255,0.8155,334.69,1.1155,0.7789,0.0237,0.0000,1.0000
256,0.8318,331.97,1.1318,0.7874,-0.1757,0.0000,1.0000
257,0.8227,322.78,1.1227,0.7757,-0.1134,0.0000,1.0000
258,0.7733,327.78,1.0733,0.7954,-0.2479,0.0000,1.0000
259,0.8296,326.29,1.1296,0.7596,-0.4154,0.0002,1.0000
260,0.8040,330.11,1.1040,0.7923,-0.5709,0.0000,1.0000
261,0.8477,322.75,1.1477,0.7412,-0.1575,0.0000,1.0000
262,0.8400,321.90,1.1400,0.7878,-0.1102,0.0000,1.0000
263,0.8158,330.86,1.1158,0.7762,-0.1195,0.1686,1.0000
264,0.8341,328.31,1.1341,0.7909,-0.0824,0.0000,1.0000
265,0.8415,326.21,1.1415,0.7935,0.0158,0.3759,1.0000
266,0.8538,327.34,1.1538,0.7256,-0.1251,0.0000,1.0000
267,0.7920,332.28,1.0920,0.7925,-0.1765,0.0000,1.0000
268,0.8063,331.62,1.1063,0.7461,-0.1579,0.0000,1.0000
269,0.8198,328.97,1.1198,0.7755,-0.3833,0.0000,1.0000
270,0.8224,326.67,1.1224,0.7503,-0.1382,0.0000,1.0000
271,0.8189,330.97,1.1189,0.7785,-0.2766,0.0000,1.0000
272,0.8165,329.54,1.1165,0.7747,-0.2171,0.0000,1.0000
273,0.8549,327.22,1.1549,0.7637,-0.0354,0.0000,1.0000
274,0.8293,331.12,1.1293,0.7732,-0.1305,0.0000,1.0000
275,0.8550,327.40,1.1550,0.7771,-0.0422,0.1445,1.0000
276,0.8208,325.19,1.1208,0.7605,-0.2628,0.0000,1.0000
277,0.8515,322.38,1.1515,0.7765,-0.1543,0.0000,1.0000
278,0.8200,328.53,1.1200,0.7900,-0.0967,0.0000,1.0000
279,0.7993,327.34,1.0993,0.7871,-0.1876,0.0000,1.0000
280,0.8409,319.74,1.1409,0.7542,-0.1305,0.0000,1.0000
281,0.8126,326.16,1.1126,0.7880,-0.2671,0.0000,1.0000
282,0.8310,319.23,1.1310,0.7729,-0.2025,0.0000,1.0000
283,0.8139,326.41,1.1139,0.7723,-0.2464,0.0000,1.0000
284,0.8501,323.00,1.1501,0.7619,-0.1244,0.0000,1.0000
285,0.8387,329.16,1.1387,0.7469,-0.1148,0.0000,1.0000
286,0.8438,323.63,1.1438,0.7287,-0.1009,0.0000,1.0000
287,0.8284,321.03,1.1284,0.7712,-0.1197,0.0000,1.0000
288,0.8149,319.43,1.1103,0.7922,-0.4770,0.3552,1.0000
289,0.8494,325.38,1.1494,0.7451,-0.0194,0.0000,1.0000
290,0.8274,327.47,1.1274,0.7565,-0.4491,0.0000,1.0000
291,0.8228,322.85,1.1228,0.7748,-0.3460,0.0000,1.0000
292,0.8267,314.40,1.1254,0.7829,-0.0444,0.2924,1.0000
293,0.8275,319.22,1.1222,0.7634,-0.2470,0.0000,1.0000
294,0.8547,323.53,1.1547,0.7368,0.0097,0.0000,1.0000
295,0.7985,326.82,1.0985,0.7858,-0.2935,0.0000,1.0000
296,0.8553,323.91,1.1550,0.7670,0.0425,0.4855,1.0000
297,0.8389,324.18,1.1389,0.7654,-0.0095,0.0000,1.0000
298,0.8166,330.01,1.1166,0.7558,-0.4524,0.0000,1.0000
299,0.8337,326.57,1.1337,0.7756,-0.0365,0.0962,1.0000
300,0.8452,332.75,1.1452,0.7694,-0.1147,0.0000,1.0000
