step,mean_qed,mean_reward,mean_diversity,loss,mean_kl,validity
166,0.7352,0.7352,0.8599,-0.0112,0.0000,1.0000
167,0.7608,0.7608,0.8576,0.1921,0.1752,1.0000
168,0.7879,0.7879,0.8563,-0.2263,0.8275,1.0000
169,0.7081,0.7081,0.8611,-0.0416,0.3512,1.0000
170,0.7101,0.7101,0.8634,-0.1660,0.2628,1.0000
171,0.7122,0.7122,0.8677,0.0060,0.0000,1.0000
172,0.7125,0.7125,0.8700,-0.3029,0.3774,1.0000
173,0.6863,0.6863,0.8648,-0.2366,0.0693,1.0000
174,0.7422,0.7422,0.8575,-0.1827,0.4269,1.0000
175,0.7268,0.7268,0.8598,-0.4787,0.6524,1.0000
176,0.7092,0.7092,0.8475,-0.6703,0.0000,1.0000
177,0.7558,0.7558,0.8642,-0.0332,0.4980,1.0000
178,0.7186,0.7186,0.8634,0.1447,0.1125,1.0000
179,0.7284,0.7284,0.8713,-0.1578,0.3006,1.0000
180,0.7184,0.7184,0.8738,-0.4286,0.8888,1.0000
181,0.7271,0.7271,0.8751,-0.0790,1.2740,1.0000
182,0.7303,0.7303,0.8686,-0.5617,0.0310,1.0000
183,0.7135,0.7135,0.8710,0.0359,1.3740,1.0000
184,0.7111,0.7111,0.8582,-0.1925,0.0000,1.0000
185,0.7245,0.7245,0.8715,-0.6365,0.0000,1.0000
186,0.7433,0.7433,0.8609,-0.2635,0.0000,1.0000
187,0.7343,0.7343,0.8587,-0.3002,0.8068,1.0000
188,0.7830,0.7830,0.8622,-0.1073,0.4476,1.0000
189,0.7092,0.7092,0.8589,-0.2263,1.2679,1.0000
190,0.7192,0.7192,0.8608,-0.3201,0.6411,1.0000
191,0.7105,0.7105,0.8697,-0.1485,0.2723,1.0000
192,0.7474,0.7474,0.8746,-0.3599,0.3682,1.0000
193,0.7301,0.7301,0.8703,-0.9126,0.0406,1.0000
194,0.7068,0.7068,0.8888,-0.4043,0.0000,1.0000
195,0.7212,0.7212,0.8662,-0.2984,0.0026,1.0000
196,0.6948,0.6948,0.8518,-0.1577,0.0000,1.0000
197,0.7648,0.7648,0.8514,-0.2325,0.0000,1.0000
198,0.7640,0.7640,0.8537,-0.3592,0.3609,1.0000
199,0.7280,0.7280,0.8679,0.0413,0.1580,1.0000
200,0.7013,0.7013,0.8573,-1.1034,1.1233,1.0000
201,0.7158,0.7158,0.8532,-0.2581,0.2826,1.0000
202,0.7639,0.7639,0.8615,0.1321,0.4872,1.0000
203,0.6819,0.6819,0.8802,-0.5949,0.0000,1.0000
204,0.7579,0.7579,0.8548,-0.6288,0.0000,1.0000
205,0.7286,0.7286,0.8728,0.1321,0.2567,1.0000
206,0.7435,0.7435,0.8721,-0.5719,0.0000,1.0000
207,0.7350,0.7350,0.8668,-0.2685,0.0000,1.0000
208,0.7164,0.7164,0.8713,0.0319,0.8656,1.0000
209,0.7423,0.7423,0.8598,-0.4195,0.0000,1.0000
210,0.7533,0.7533,0.8692,-0.8295,0.0000,1.0000
211,0.7025,0.7025,0.8625,-0.7135,0.0079,1.0000
212,0.7185,0.7185,0.8819,-0.3350,0.1572,1.0000
213,0.7515,0.7515,0.8630,-0.3224,0.0181,1.0000
214,0.7075,0.7075,0.8840,-0.8526,0.0935,1.0000
215,0.7285,0.7285,0.8533,-0.0924,0.0180,1.0000
216,0.7769,0.7769,0.8631,-0.3473,0.0000,1.0000
217,0.7107,0.7107,0.8769,-0.4169,0.2875,1.0000
218,0.7415,0.7415,0.8533,-0.3132,0.2430,1.0000
219,0.7494,0.7494,0.8610,-0.3202,0.0000,1.0000
220,0.7285,0.7285,0.8736,-0.1255,0.0000,1.0000
221,0.7153,0.7153,0.8646,-0.1079,0.0000,1.0000
222,0.7752,0.7752,0.8664,-0.1629,0.0000,1.0000
223,0.7758,0.7758,0.8468,-0.0633,0.8392,1.0000
224,0.7225,0.7225,0.8653,-0.5061,0.0000,1.0000
